d,n,m,i,time
0.2,20,30,27,0.384888309
0.2,20,30,25,0.499657006
0.2,20,30,28,0.318410689
0.2,30,5,0,0.182630672
0.2,30,5,1,0.187957909
0.2,30,5,2,0.197064274
0.2,30,5,3,0.20127861
0.2,30,5,4,0.183842679
0.2,20,30,29,0.397507417
0.2,30,5,5,0.18822147
0.2,30,5,7,0.182390506
0.2,30,5,6,0.213376172
0.2,30,5,8,0.1785587
0.2,30,5,9,0.197860838
0.2,30,5,10,0.192323624
0.2,30,5,11,0.190818288
0.2,30,5,12,0.191993534
0.2,30,5,13,0.204938739
0.2,30,5,15,0.176275893
0.2,30,5,14,0.215769545
0.2,30,5,16,0.201547298
0.2,30,5,18,0.20369471
0.2,30,5,17,0.248730706
0.2,30,5,20,0.172522588
0.2,30,5,19,0.17708834
0.2,30,5,21,0.192470856
0.2,30,5,23,0.194168198
0.2,30,5,22,0.204602601
0.2,30,5,24,0.186097632
0.2,30,5,25,0.213105929
0.2,30,5,26,0.18786792
0.2,30,5,28,0.160401052
0.2,30,5,27,0.17929227
0.2,30,5,29,0.177573922
0.2,30,10,0,0.294017358
0.2,30,10,1,0.28330084
0.2,30,10,3,0.278849629
0.2,30,10,4,0.300374023
0.2,30,10,2,0.411256837
0.2,30,10,6,0.295828577
0.2,30,10,7,0.295643771
0.2,30,10,5,0.43427089
0.2,30,10,8,0.362893771
0.2,30,10,9,0.290296268
0.2,30,10,12,0.251017542
0.2,30,10,11,0.278848473
0.2,30,10,10,0.342503669
0.2,30,10,13,0.310565522
0.2,30,10,14,0.308901958
0.2,100,30,25,24.659094369
0.2,30,10,15,0.300196051
0.2,30,10,16,0.302177636
0.2,30,10,17,0.29242021
0.2,30,10,19,0.284400835
0.2,30,10,18,0.39589212
0.2,30,10,20,0.328334954
0.2,30,10,21,0.313112129
0.2,30,10,22,0.312941018
0.2,30,10,23,0.351307398
0.2,30,10,24,0.299019251
0.2,30,10,26,0.273002342
0.2,30,10,25,0.282387928
0.2,30,10,27,0.237868737
0.2,30,10,28,0.243479327
0.2,30,10,29,0.26786203200000003
0.2,30,20,2,0.524009049
0.2,30,20,0,0.631492991
0.2,30,20,4,0.504426031
0.2,30,20,3,0.526989238
0.2,30,20,1,0.638326323
0.2,30,20,5,0.565285807
0.2,30,20,6,0.532779785
0.2,30,20,7,0.514739319
0.2,30,20,8,0.54325284
0.2,30,20,10,0.520271244
0.2,30,20,11,0.49656383
0.2,30,20,9,0.68611617
0.2,30,20,13,0.537697607
0.2,30,20,14,0.526888021
0.2,30,20,12,0.610060846
0.2,30,20,15,0.549367301
0.2,30,20,17,0.497970578
0.2,30,20,16,0.762403548
0.2,30,20,18,0.526403878
0.2,30,20,20,0.524745754
0.2,30,20,19,0.675268664
0.2,30,20,21,0.640554308
0.2,30,20,22,0.673710628
0.2,30,20,23,0.581555459
0.2,30,20,25,0.538728546
0.2,30,20,24,0.613895634
0.2,30,20,26,0.534881288
0.2,30,20,27,0.588872496
0.2,30,20,28,0.544107548
0.2,30,20,29,0.522876026
0.2,100,30,28,24.138275541
0.2,30,30,1,0.73578246
0.2,30,30,2,0.787279037
