r,n,m,i,bs,jri
0.2,10,5,6,0.2,0
0.2,10,5,7,0.3,0.022222222222222223
0.2,10,5,8,0.2,0.022222222222222223
0.2,10,5,9,0.2,0.005555555555555556
0.2,10,5,10,0.2,0.005555555555555556
0.2,10,5,11,0.2,0.011111111111111112
0.2,10,5,12,0.1,0
0.2,10,5,13,0.2,0.027777777777777776
0.2,10,5,14,0.3,0.005555555555555556
0.2,10,5,15,0.1,0.011111111111111112
0.2,10,5,16,0.2,0.016666666666666666
0.2,10,5,17,0.4,0.005555555555555556
0.2,10,5,18,0.1,0
0.2,10,5,19,0.1,0.005555555555555556
0.2,10,5,20,0.2,0.005555555555555556
0.2,10,5,21,0.3,0.016666666666666666
0.2,10,5,22,0.2,0.005555555555555556
0.2,10,5,23,0.2,0.011111111111111112
0.2,10,5,24,0.2,0.005555555555555556
0.2,10,5,25,0.2,0.016666666666666666
0.2,10,5,26,0.2,0.016666666666666666
0.2,10,5,27,0.1,0.044444444444444446
0.2,10,5,28,0.2,0.016666666666666666
0.2,10,5,29,0.3,0.03333333333333333
0.2,10,10,0,0.1,0
0.2,10,10,1,0.2,0.0024691358024691358
0.2,10,10,2,0.3,0.0049382716049382715
0.2,10,10,3,0.4,0.012345679012345678
0.2,10,10,4,0.2,0.0049382716049382715
0.2,10,10,5,0.2,0.009876543209876543
0.2,10,10,6,0.1,0
0.2,10,10,7,0.3,0.044444444444444446
0.2,10,10,8,0.2,0.014814814814814815
0.2,10,10,9,0.2,0.0024691358024691358
0.2,10,10,10,0.3,0.017283950617283952
0.2,10,10,11,0.3,0.0049382716049382715
0.2,10,10,12,0.2,0.0024691358024691358
0.2,10,10,13,0.1,0.0049382716049382715
0.2,10,10,14,0.3,0.0049382716049382715
0.2,10,10,15,0.2,0.012345679012345678
0.2,10,10,16,0.3,0.04691358024691358
0.2,10,10,17,0.2,0.0024691358024691358
0.2,10,10,18,0.2,0.022222222222222223
0.2,10,10,19,0.2,0
0.2,10,10,20,0.3,0.007407407407407408
0.2,10,10,21,0.3,0.007407407407407408
0.2,10,10,22,0.4,0.024691358024691357
0.2,10,10,23,0.2,0
0.2,10,10,24,0.2,0.022222222222222223
0.2,10,10,25,0.2,0.0049382716049382715
0.2,10,10,26,0.3,0.017283950617283952
0.2,10,10,27,0.3,0.009876543209876543
0.2,10,10,28,0.2,0.022222222222222223
0.2,10,10,29,0.2,0.037037037037037035
0.2,10,20,0,0.2,0.004678362573099415
0.2,10,20,1,0.3,0.008187134502923975
0.2,10,20,2,0.2,0.0023391812865497076
0.2,10,20,3,0.4,0.007017543859649123
0.2,10,20,4,0.3,0.0023391812865497076
0.2,10,20,5,0.3,0.00935672514619883
0.2,10,20,6,0.2,0.005847953216374269
0.2,10,20,7,0.1,0.0023391812865497076
0.2,10,20,8,0.3,0.0011695906432748538
0.2,10,20,9,0.2,0.004678362573099415
0.2,10,20,10,0.2,0.005847953216374269
0.2,10,20,11,0.2,0.012865497076023392
0.2,10,20,12,0.3,0.007017543859649123
0.2,10,20,13,0.3,0.004678362573099415
0.2,10,20,14,0.2,0.0035087719298245615
0.2,10,20,15,0.3,0.011695906432748537
0.2,10,20,16,0.3,0.005847953216374269
0.2,10,20,17,0.3,0.010526315789473684
0.2,10,20,18,0.3,0.0035087719298245615
0.2,10,20,19,0.2,0.0023391812865497076
0.2,10,20,20,0.1,0.0023391812865497076
0.2,10,20,21,0.1,0.0035087719298245615
0.2,10,20,22,0.3,0.0011695906432748538
0.2,10,20,23,0.2,0.012865497076023392
0.2,10,20,24,0.3,0.010526315789473684
0.2,10,20,25,0.3,0.004678362573099415
0.2,10,20,26,0.4,0.010526315789473684
0.2,10,20,27,0.4,0.007017543859649123
0.2,10,20,28,0.3,0.00935672514619883
0.2,10,20,29,0.3,0.0035087719298245615
0.2,10,30,0,0.1,0.0038314176245210726
0.2,10,30,1,0.4,0.0053639846743295016
0.2,10,30,2,0.1,0.0015325670498084292
0.2,10,30,3,0.2,0.0022988505747126436
0.2,10,30,4,0.2,0
0.2,10,30,5,0.2,0.0038314176245210726
0.2,10,30,6,0.2,0.0015325670498084292
0.2,10,30,7,0.4,0.0030651340996168583
0.2,10,30,8,0.4,0.006130268199233717
0.2,10,30,9,0.4,0.006130268199233717
0.2,10,30,10,0.3,0.0030651340996168583
0.2,10,30,11,0.3,0.0038314176245210726
0.2,10,30,12,0.2,0.0038314176245210726
0.2,10,30,13,0.3,0.004597701149425287
0.2,10,30,14,0.3,0.004597701149425287
0.2,10,30,15,0.3,0.004597701149425287
0.2,10,30,16,0.3,0.0053639846743295016
0.2,10,30,17,0.2,0.0015325670498084292
0.2,10,30,18,0.2,0.007662835249042145
0.2,10,30,19,0.2,0.006130268199233717
0.2,10,30,20,0.3,0.007662835249042145
0.2,10,30,21,0.3,0.0038314176245210726
0.2,10,30,22,0.3,0.004597701149425287
0.2,10,30,23,0.4,0.0030651340996168583
0.2,10,30,24,0.4,0.010727969348659003
0.2,10,30,25,0.3,0.0022988505747126436
0.2,10,30,26,0.2,0.004597701149425287
0.2,10,30,27,0.2,0.0030651340996168583
0.2,10,30,28,0.2,0.0053639846743295016
0.2,10,30,29,0.4,0.0038314176245210726
0.2,20,5,0,0.2,0.007894736842105263
0.2,20,5,1,0.2,0.006578947368421052
0.2,20,5,2,0.15,0.005263157894736842
0.2,20,5,3,0.15,0.003947368421052632
0.2,20,5,4,0.15,0.042105263157894736
0.2,20,5,5,0.25,0.017105263157894738
0.2,20,5,6,0.15,0.035526315789473684
0.2,20,5,7,0.2,0.011842105263157895
0.2,20,5,8,0.15,0.028947368421052635
0.2,20,5,9,0.15,0.003947368421052632
0.2,20,5,10,0.15,0.006578947368421052
0.2,20,5,11,0.3,0.03289473684210526
0.2,20,5,12,0.2,0.024999999999999998
0.2,20,5,13,0.2,0.035526315789473684
0.2,20,5,14,0.1,0.018421052631578946
0.2,20,5,15,0.2,0.03684210526315789
0.2,20,5,16,0.25,0.006578947368421052
0.2,20,5,17,0.1,0.009210526315789473
0.2,20,5,18,0.25,0.03026315789473684
0.2,20,5,19,0.2,0.03289473684210526
0.2,20,5,20,0.15,0.006578947368421052
0.2,20,5,21,0.15,0.006578947368421052
0.2,20,5,22,0.2,0.017105263157894738
0.2,20,5,23,0.2,0.05921052631578947
0.2,20,5,24,0.15,0.018421052631578946
0.2,20,5,25,0.15,0.03289473684210526
0.2,20,5,26,0.2,0.002631578947368421
0.2,20,5,27,0.25,0.04078947368421053
0.2,20,5,28,0.2,0.021052631578947368
0.2,20,5,29,0.2,0.007894736842105263
0.2,20,10,0,0.3,0.015789473684210527
0.2,20,10,1,0.3,0.019883040935672513
0.2,20,10,2,0.15,0.0035087719298245615
0.2,20,10,3,0.25,0.02046783625730994
0.2,20,10,4,0.25,0.021637426900584796
0.2,20,10,5,0.15,0.0017543859649122807
0.2,20,10,6,0.15,0.004093567251461989
0.2,20,10,7,0.2,0.015789473684210527
0.2,20,10,8,0.3,0.004678362573099415
0.2,20,10,9,0.2,0.005847953216374269
0.2,20,10,10,0.2,0.012280701754385965
0.2,20,10,11,0.3,0.011695906432748537
0.2,20,10,12,0.15,0.008187134502923977
0.2,20,10,13,0.3,0.011695906432748537
0.2,20,10,14,0.3,0.025146198830409357
0.2,20,10,15,0.2,0.008771929824561403
0.2,20,10,16,0.25,0.0035087719298245615
0.2,20,10,17,0.3,0.008771929824561403
0.2,20,10,18,0.2,0.008771929824561403
0.2,20,10,19,0.25,0.008187134502923977
0.2,20,10,20,0.2,0.015204678362573098
0.2,20,10,21,0.2,0.006432748538011695
0.2,20,10,22,0.35,0.02280701754385965
0.2,20,10,23,0.25,0.004093567251461989
0.2,20,10,24,0.3,0.011111111111111112
